year,return_pct,mdd_pct,kospi,kosdaq,num_trades,win_rate,avg_ret,realized_pnl
2017,10.510505120000001,-6.068673694890503,21.7815967149682,26.324283273210547,12,33.33333333333333,4.751666666666668,7171224.34
2018,-2.2110726010587944,-3.732686584993683,-17.282744813555475,-15.376618822173793,6,33.33333333333333,1.7183333333333337,895813.2899999999
2019,-0.799999999111678,-0.799999999111678,7.674028926429677,-0.861392732923838,1,0.0,-8.0,-864536.3
2020,25.472333773713494,-9.912388975015263,27.798987109074602,38.393323679142455,35,31.428571428571427,8.33514285714286,22696187.599999998
2021,-1.2582743882458391,-6.450754609918419,6.019013031403553,11.540453074433653,17,29.411764705882355,3.595882352941176,2918292.9999999995
2022,-13.291936575779406,-16.014565588070397,-24.89379208436183,-34.30337143851913,36,22.22222222222222,-4.371666666666666,-17654645.700000003
2023,56.9370445287386,-11.237743939745016,18.730101949561796,27.56996275522974,13,15.384615384615385,44.35076923076924,63736119.51
2024,8.959938815871805,-24.41796493026103,-9.63325901599833,-21.738578533759533,69,30.434782608695656,2.0298550724637683,12447841.319999998
2025,7.061764860616715,-11.86211241574442,75.89404415104879,37.51161179020628,56,42.857142857142854,2.6324999999999994,20634638.96
2026,48.18703417047756,-19.724880753122733,77.13147070530921,-10.203840916158235,53,30.18867924528302,12.247547169811321,100447114.25000001
